rig,rev_5y_usdk,capex_5y_usdk,capex_pct_rev_5y,per_year_capex_pct_rev
AXIMA,121309.36,5590.62,4.61,"2022: rev=0, capex=661, pct=0.0%; 2023: rev=37854, capex=1228, pct=3.2%; 2024: rev=44245, capex=1318, pct=3.0%; 2025: rev=39210, capex=2383, pct=6.1%"
BANBA,125876.98,4246.16,3.37,"2021: rev=16360, capex=235, pct=1.4%; 2022: rev=26334, capex=791, pct=3.0%; 2023: rev=26443, capex=843, pct=3.2%; 2024: rev=23418, capex=1188, pct=5.1%; 2025: rev=33321, capex=1189, pct=3.6%"
NUADA,116214.32,7004.17,6.03,"2021: rev=10323, capex=207, pct=2.0%; 2022: rev=24571, capex=2203, pct=9.0%; 2023: rev=16834, capex=2805, pct=16.7%; 2024: rev=30112, capex=905, pct=3.0%; 2025: rev=34374, capex=884, pct=2.6%"
LUG,94027.65,2834.59,3.01,"2021: rev=17311, capex=394, pct=2.3%; 2022: rev=18695, capex=632, pct=3.4%; 2023: rev=21292, capex=836, pct=3.9%; 2024: rev=12895, capex=567, pct=4.4%; 2025: rev=23834, capex=406, pct=1.7%"
MIDIR,59537.62,4895.88,8.22,"2021: rev=11085, capex=187, pct=1.7%; 2022: rev=10187, capex=410, pct=4.0%; 2023: rev=13022, capex=1618, pct=12.4%; 2024: rev=11650, capex=1184, pct=10.2%; 2025: rev=13593, capex=1497, pct=11.0%"
DRAVUS,46261.28,5802.37,12.54,"2021: rev=0, capex=114, pct=0.0%; 2022: rev=7372, capex=21, pct=0.3%; 2023: rev=12369, capex=790, pct=6.4%; 2024: rev=12395, capex=1732, pct=14.0%; 2025: rev=14125, capex=3146, pct=22.3%"
