rig,op_days_2025,po_total_usd,po_per_day_usd,gr_total_usd,gr_per_day_usd,io_total_usd,io_per_day_usd
AXIMA,310,11464894.73,36983.53,12525216.87,40403.93,7286460.71,23504.71
BANBA,365,10092582.39,27650.91,9384010.12,25709.62,2584701.82,7081.37
NUADA,365,4444692.2,12177.24,13539397.67,37094.24,4193455.64,11488.92
LUG,365,7552695.85,20692.32,6488064.19,17775.52,1761304.03,4825.49
MIDIR,365,7727139.6,21170.25,9435593.59,25850.94,1456637.51,3990.79
DRAVUS,365,7621103.19,20879.73,16471819.42,45128.27,1035506.29,2837.0
